Format Version,1.23,Take Name,ar_s9_t5,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-29 11.59.20.625 AM,Total Frames in Take,4542,Total Exported Frames,4542,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_right,ar_marker:bot_right,ar_marker:bot_right,ar_marker:top_left,ar_marker:top_left,ar_marker:top_left,ar_marker:top_right,ar_marker:top_right,ar_marker:top_right
,ID,"138855FB0F0811ED20C8B848E859B3","138855FB0F0811ED20C8B848E859B3","138855FB0F0811ED20C8B848E859B3","138855FA0F0811ED20C8B848E859B3","138855FA0F0811ED20C8B848E859B3","138855FA0F0811ED20C8B848E859B3","138855F90F0811ED20C8B848E859B3","138855F90F0811ED20C8B848E859B3","138855F90F0811ED20C8B848E859B3","138855F80F0811ED20C8B848E859B3","138855F80F0811ED20C8B848E859B3","138855F80F0811ED20C8B848E859B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.358913,0.174861,-0.016791,0.433654,0.173443,-0.019963,0.362389,0.254999,-0.016434,0.437107,0.249953,-0.017759
1,0.010000,0.358922,0.174881,-0.016781,0.433649,0.173418,-0.019979,0.362410,0.254988,-0.016427,0.437113,0.249979,-0.017740
2,0.020000,0.358903,0.174888,-0.016771,0.433646,0.173413,-0.019977,0.362387,0.255027,-0.016419,0.437108,0.249978,-0.017742
3,0.030000,0.358906,0.174870,-0.016782,0.433647,0.173430,-0.019962,0.362373,0.255027,-0.016427,0.437118,0.249957,-0.017746
4,0.040000,0.358907,0.174860,-0.016786,0.433648,0.173433,-0.019966,0.362384,0.255003,-0.016442,0.437107,0.249979,-0.017754
5,0.050000,0.358906,0.174885,-0.016771,0.433644,0.173404,-0.019978,0.362416,0.255002,-0.016420,0.437115,0.249975,-0.017735
6,0.060000,0.358906,0.174883,-0.016782,0.433645,0.173430,-0.019969,0.362374,0.255018,-0.016419,0.437104,0.249976,-0.017749
7,0.070000,0.358906,0.174889,-0.016773,0.433643,0.173432,-0.019966,0.362380,0.255035,-0.016430,0.437108,0.249961,-0.017752
8,0.080000,0.358919,0.174864,-0.016784,0.433652,0.173417,-0.019976,0.362412,0.255002,-0.016425,0.437112,0.249993,-0.017744
9,0.090000,0.358912,0.174886,-0.016775,0.433656,0.173393,-0.019976,0.362382,0.255044,-0.016418,0.437111,0.249977,-0.017742
10,0.100000,0.358901,0.174869,-0.016782,0.433654,0.173423,-0.019974,0.362386,0.255013,-0.016433,0.437112,0.249949,-0.017749
11,0.110000,0.358912,0.174857,-0.016779,0.433650,0.173387,-0.019986,0.362400,0.255036,-0.016418,0.437110,0.249979,-0.017746
12,0.120000,0.358904,0.174875,-0.016780,0.433650,0.173384,-0.019984,0.362423,0.254975,-0.016432,0.437114,0.249978,-0.017747
