Format Version,1.23,Take Name,ar_s5_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-22 12.48.09.749 PM,Total Frames in Take,3565,Total Exported Frames,3565,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,cart:org,cart:org,cart:org,cart:xvec,cart:xvec,cart:xvec,cart:zvec,cart:zvec,cart:zvec
,ID,"CFD431D7098F11ED20C8B848E857B3","CFD431D7098F11ED20C8B848E857B3","CFD431D7098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
48,0.480000,-0.034590,0.149419,-0.003249,0.096514,0.150270,-0.015763,-0.013605,0.150138,0.075085
49,0.490000,-0.034588,0.149425,-0.003253,0.096511,0.150318,-0.015770,-0.013621,0.150142,0.075055
50,0.500000,-0.034593,0.149412,-0.003258,0.096524,0.150277,-0.015772,-0.013615,0.150094,0.075076
51,0.510000,-0.034589,0.149417,-0.003248,0.096510,0.150294,-0.015766,-0.013600,0.150128,0.075082
52,0.520000,-0.034593,0.149426,-0.003235,0.096519,0.150268,-0.015775,-0.013623,0.150090,0.075100
53,0.530000,-0.034591,0.149420,-0.003250,0.096511,0.150282,-0.015761,-0.013605,0.150136,0.075077
54,0.540000,-0.034574,0.149434,-0.003254,0.096538,0.150300,-0.015769,-0.013599,0.150136,0.075084
55,0.550000,-0.034572,0.149456,-0.003244,0.096514,0.150272,-0.015761,-0.013615,0.150089,0.075091
56,0.560000,-0.034614,0.149408,-0.003247,0.096510,0.150302,-0.015771,-0.013604,0.150142,0.075067
57,0.570000,-0.034570,0.149441,-0.003248,0.096514,0.150269,-0.015772,-0.013605,0.150131,0.075072
58,0.580000,-0.034574,0.149446,-0.003247,0.096520,0.150279,-0.015768,-0.013596,0.150133,0.075092
59,0.590000,-0.034594,0.149408,-0.003258,0.096523,0.150316,-0.015777,-0.013599,0.150118,0.075071
60,0.600000,-0.034586,0.149409,-0.003255,0.096521,0.150278,-0.015770,-0.013622,0.150110,0.075073
61,0.610000,-0.034576,0.149427,-0.003264,0.096535,0.150292,-0.015772,-0.013616,0.150152,0.075065
62,0.620000,-0.034574,0.149450,-0.003251,0.096513,0.150265,-0.015769,-0.013618,0.150089,0.075082
63,0.630000,-0.034593,0.149416,-0.003254,0.096504,0.150291,-0.015780,-0.013622,0.150100,0.075095
64,0.640000,-0.034554,0.149471,-0.003251,0.096535,0.150282,-0.015773,-0.013595,0.150136,0.075087
65,0.650000,-0.034579,0.149458,-0.003218,0.096524,0.150310,-0.015769,-0.013607,0.150121,0.075094
66,0.660000,-0.034577,0.149435,-0.003244,0.096514,0.150307,-0.015767,-0.013613,0.150113,0.075077
67,0.670000,-0.034585,0.149439,-0.003246,0.096523,0.150312,-0.015777,-0.013598,0.150119,0.075084
68,0.680000,-0.034567,0.149452,-0.003247,0.096526,0.150312,-0.015777,-0.013612,0.150133,0.075083
69,0.690000,-0.034585,0.149430,-0.003237,0.096514,0.150260,-0.015762,-0.013627,0.150112,0.075064
70,0.700000,-0.034572,0.149447,-0.003244,0.096501,0.150308,-0.015768,-0.013617,0.150098,0.075095
71,0.710000,-0.034573,0.149460,-0.003238,0.096524,0.150289,-0.015768,-0.013607,0.150122,0.075101
72,0.720000,-0.034591,0.149432,-0.003255,0.096530,0.150281,-0.015774,-0.013610,0.150131,0.075072
73,0.730000,-0.034612,0.149411,-0.003246,0.096512,0.150263,-0.015767,-0.013595,0.150116,0.075075
74,0.740000,-0.034571,0.149451,-0.003242,0.096536,0.150293,-0.015771,-0.013602,0.150115,0.075095
75,0.750000,-0.034586,0.149417,-0.003254,0.096521,0.150274,-0.015755,-0.013613,0.150122,0.075077
76,0.760000,-0.034592,0.149411,-0.003254,0.096515,0.150269,-0.015765,-0.013602,0.150113,0.075070
77,0.770000,-0.034593,0.149420,-0.003253,0.096529,0.150286,-0.015779,-0.013604,0.150107,0.075093
