Format Version,1.23,Take Name,ar_s8_t0,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-28 04.12.13.991 PM,Total Frames in Take,4660,Total Exported Frames,4660,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_right,ar_marker:bot_right,ar_marker:bot_right,ar_marker:top_left,ar_marker:top_left,ar_marker:top_left,ar_marker:top_right,ar_marker:top_right,ar_marker:top_right
,ID,"676308960E6211EDDA32166A2DE58B3","676308960E6211EDDA32166A2DE58B3","676308960E6211EDDA32166A2DE58B3","676308940E6211EDDA32166A2DE58B3","676308940E6211EDDA32166A2DE58B3","676308940E6211EDDA32166A2DE58B3","676308920E6211EDDA32166A2DE58B3","676308920E6211EDDA32166A2DE58B3","676308920E6211EDDA32166A2DE58B3","676308900E6211EDDA32166A2DE58B3","676308900E6211EDDA32166A2DE58B3","676308900E6211EDDA32166A2DE58B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.103943,0.165382,0.112833,0.041598,0.163176,0.113556,0.105938,0.225736,0.113993,0.042606,0.226225,0.114140
1,0.010000,0.103941,0.165348,0.112832,0.041590,0.163185,0.113544,0.105954,0.225748,0.114020,0.042626,0.226231,0.114146
2,0.020000,0.103955,0.165376,0.112835,0.041579,0.163157,0.113551,0.105945,0.225732,0.113998,0.042593,0.226227,0.114139
3,0.030000,0.103949,0.165369,0.112837,0.041593,0.163173,0.113557,0.105938,0.225744,0.114007,0.042599,0.226239,0.114140
4,0.040000,0.103946,0.165360,0.112827,0.041579,0.163181,0.113537,0.105934,0.225743,0.114005,0.042601,0.226224,0.114143
5,0.050000,0.103950,0.165375,0.112829,0.041590,0.163184,0.113551,0.105946,0.225746,0.114011,0.042608,0.226249,0.114139
6,0.060000,0.103948,0.165406,0.112855,0.041593,0.163151,0.113534,0.105932,0.225737,0.114003,0.042609,0.226236,0.114125
7,0.070000,0.103953,0.165361,0.112818,0.041599,0.163151,0.113523,0.105930,0.225742,0.114002,0.042601,0.226232,0.114140
8,0.080000,0.103943,0.165382,0.112850,0.041571,0.163176,0.113535,0.105953,0.225772,0.114026,0.042611,0.226239,0.114151
9,0.090000,0.103954,0.165387,0.112855,0.041599,0.163170,0.113551,0.105931,0.225734,0.114010,0.042600,0.226239,0.114144
10,0.100000,0.103952,0.165401,0.112862,0.041579,0.163168,0.113548,0.105941,0.225747,0.114003,0.042618,0.226229,0.114143
11,0.110000,0.103941,0.165355,0.112830,0.041573,0.163182,0.113544,0.105959,0.225770,0.114024,0.042606,0.226245,0.114129
12,0.120000,0.103935,0.165390,0.112835,0.041601,0.163138,0.113530,0.105948,0.225772,0.114020,0.042620,0.226234,0.114132
13,0.130000,0.103945,0.165396,0.112858,0.041693,0.162953,0.113466,0.105941,0.225737,0.113998,0.042589,0.226218,0.114126
14,0.140000,0.103934,0.165368,0.112823,0.041575,0.163174,0.113537,0.105945,0.225764,0.114019,0.042599,0.226247,0.114142
15,0.150000,0.103938,0.165355,0.112837,0.041598,0.163144,0.113526,0.105932,0.225731,0.114007,0.042604,0.226253,0.114135
16,0.160000,0.103947,0.165386,0.112855,0.041573,0.163167,0.113547,0.105941,0.225748,0.114003,0.042607,0.226234,0.114139
17,0.170000,0.103948,0.165370,0.112833,0.041592,0.163185,0.113547,0.105942,0.225746,0.113999,0.042614,0.226254,0.114129
18,0.180000,0.103942,0.165368,0.112824,0.041586,0.163146,0.113517,0.105934,0.225736,0.113997,0.042581,0.226196,0.114117
19,0.190000,0.103950,0.165374,0.112826,0.041594,0.163148,0.113537,0.105935,0.225734,0.113999,0.042608,0.226243,0.114144
20,0.200000,0.103938,0.165376,0.112834,0.041612,0.163157,0.113533,0.105943,0.225742,0.114004,0.042596,0.226234,0.114136
21,0.210000,0.103933,0.165357,0.112821,0.041607,0.163145,0.113531,0.105935,0.225722,0.113994,0.042600,0.226235,0.114145
22,0.220000,0.103942,0.165368,0.112840,0.041594,0.163139,0.113528,0.105940,0.225748,0.114003,0.042597,0.226237,0.114131
