Format Version,1.23,Take Name,ar_s9_t3,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-29 11.20.05.643 AM,Total Frames in Take,4878,Total Exported Frames,4878,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_right,ar_marker:bot_right,ar_marker:bot_right,ar_marker:top_left,ar_marker:top_left,ar_marker:top_left,ar_marker:top_right,ar_marker:top_right,ar_marker:top_right
,ID,"720223450F0211ED20C8B848E859B3","720223450F0211ED20C8B848E859B3","720223450F0211ED20C8B848E859B3","720223440F0211ED20C8B848E859B3","720223440F0211ED20C8B848E859B3","720223440F0211ED20C8B848E859B3","720223430F0211ED20C8B848E859B3","720223430F0211ED20C8B848E859B3","720223430F0211ED20C8B848E859B3","720223420F0211ED20C8B848E859B3","720223420F0211ED20C8B848E859B3","720223420F0211ED20C8B848E859B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.250782,0.174269,0.055027,0.324491,0.172490,0.043551,0.254249,0.253686,0.055072,0.328528,0.249062,0.045809
1,0.010000,0.250775,0.174260,0.055025,0.324483,0.172474,0.043527,0.254239,0.253702,0.055067,0.328522,0.249058,0.045807
2,0.020000,0.250781,0.174262,0.055026,0.324488,0.172492,0.043546,0.254244,0.253697,0.055073,0.328526,0.249060,0.045811
3,0.030000,0.250777,0.174255,0.055018,0.324495,0.172482,0.043539,0.254252,0.253690,0.055073,0.328533,0.249058,0.045811
4,0.040000,0.250792,0.174253,0.055020,0.324493,0.172479,0.043530,0.254248,0.253682,0.055068,0.328534,0.249051,0.045812
5,0.050000,0.250783,0.174250,0.055016,0.324482,0.172482,0.043533,0.254247,0.253691,0.055058,0.328519,0.249069,0.045789
6,0.060000,0.250784,0.174243,0.055021,0.324501,0.172481,0.043541,0.254251,0.253685,0.055072,0.328529,0.249054,0.045801
7,0.070000,0.250786,0.174249,0.055023,0.324497,0.172481,0.043532,0.254253,0.253687,0.055068,0.328531,0.249063,0.045799
8,0.080000,0.250778,0.174253,0.055020,0.324497,0.172493,0.043541,0.254245,0.253685,0.055061,0.328522,0.249072,0.045798
9,0.090000,0.250782,0.174251,0.055023,0.324504,0.172493,0.043553,0.254245,0.253689,0.055074,0.328529,0.249053,0.045802
10,0.100000,0.250783,0.174259,0.055022,0.324503,0.172492,0.043547,0.254248,0.253677,0.055074,0.328528,0.249051,0.045802
11,0.110000,0.250777,0.174267,0.055021,0.324486,0.172489,0.043542,0.254242,0.253703,0.055073,0.328519,0.249049,0.045799
12,0.120000,0.250776,0.174267,0.055024,0.324488,0.172489,0.043546,0.254245,0.253691,0.055073,0.328526,0.249081,0.045790
13,0.130000,0.250785,0.174259,0.055024,0.324493,0.172483,0.043547,0.254247,0.253694,0.055073,0.328525,0.249082,0.045798
