Format Version,1.23,Take Name,ar_s6_t0,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-26 10.27.35.849 AM,Total Frames in Take,3309,Total Exported Frames,3309,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,cart:org,cart:org,cart:org,cart:xvec,cart:xvec,cart:xvec,cart:zvec,cart:zvec,cart:zvec
,ID,"A5C21E7F0C9F11EDDA32166A2DE58B3","A5C21E7F0C9F11EDDA32166A2DE58B3","A5C21E7F0C9F11EDDA32166A2DE58B3","A5C21E7E0C9F11EDDA32166A2DE58B3","A5C21E7E0C9F11EDDA32166A2DE58B3","A5C21E7E0C9F11EDDA32166A2DE58B3","A5C21E7D0C9F11EDDA32166A2DE58B3","A5C21E7D0C9F11EDDA32166A2DE58B3","A5C21E7D0C9F11EDDA32166A2DE58B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
49,0.490000,0.011155,0.149474,-0.024522,0.143138,0.149896,-0.035742,0.033095,0.150632,0.053986
50,0.500000,0.011152,0.149479,-0.024513,0.143168,0.149899,-0.035744,0.033073,0.150645,0.053999
51,0.510000,0.011153,0.149502,-0.024511,0.143150,0.149874,-0.035745,0.033075,0.150654,0.054011
52,0.520000,0.011148,0.149497,-0.024508,0.143152,0.149858,-0.035752,0.033074,0.150649,0.054011
53,0.530000,0.011147,0.149477,-0.024522,0.143146,0.149853,-0.035751,0.033071,0.150643,0.054001
54,0.540000,0.011144,0.149485,-0.024520,0.143170,0.149879,-0.035747,0.033080,0.150626,0.053982
55,0.550000,0.011147,0.149488,-0.024513,0.143175,0.149891,-0.035741,0.033078,0.150656,0.054010
56,0.560000,0.011132,0.149511,-0.024518,0.143169,0.149883,-0.035741,0.033076,0.150636,0.054002
57,0.570000,0.011148,0.149489,-0.024517,0.143164,0.149894,-0.035744,0.033099,0.150627,0.053994
58,0.580000,0.011151,0.149496,-0.024507,0.143161,0.149854,-0.035757,0.033082,0.150652,0.054007
59,0.590000,0.011153,0.149484,-0.024516,0.143150,0.149843,-0.035761,0.033101,0.150611,0.053978
60,0.600000,0.011152,0.149485,-0.024523,0.143171,0.149875,-0.035747,0.033075,0.150639,0.053989
61,0.610000,0.011151,0.149494,-0.024513,0.143166,0.149918,-0.035726,0.033058,0.150701,0.054011
62,0.620000,0.011155,0.149484,-0.024512,0.143174,0.149902,-0.035742,0.033100,0.150643,0.053998
63,0.630000,0.011148,0.149486,-0.024516,0.143165,0.149902,-0.035741,0.033071,0.150650,0.053988
64,0.640000,0.011150,0.149488,-0.024515,0.143165,0.149897,-0.035744,0.033078,0.150660,0.054002
65,0.650000,0.011144,0.149496,-0.024509,0.143171,0.149915,-0.035731,0.033100,0.150644,0.053997
66,0.660000,0.011146,0.149482,-0.024524,0.143171,0.149897,-0.035750,0.033079,0.150653,0.053999
67,0.670000,0.011146,0.149493,-0.024520,0.143154,0.149928,-0.035724,0.033094,0.150640,0.053988
68,0.680000,0.011155,0.149488,-0.024516,0.143170,0.149920,-0.035731,0.033079,0.150652,0.054011
69,0.690000,0.011151,0.149487,-0.024519,0.143171,0.149886,-0.035746,0.033095,0.150626,0.053990
70,0.700000,0.011148,0.149480,-0.024521,0.143163,0.149906,-0.035736,0.033071,0.150645,0.053999
71,0.710000,0.011149,0.149485,-0.024515,0.143173,0.149884,-0.035749,0.033076,0.150648,0.054009
72,0.720000,0.011148,0.149487,-0.024513,0.143146,0.149878,-0.035739,0.033076,0.150652,0.054009
73,0.730000,0.011143,0.149474,-0.024525,0.143160,0.149891,-0.035740,0.033075,0.150645,0.054001
74,0.740000,0.011151,0.149480,-0.024519,0.143175,0.149888,-0.035749,0.033093,0.150627,0.053980
75,0.750000,0.011153,0.149507,-0.024514,0.143174,0.149899,-0.035744,0.033080,0.150645,0.053994
76,0.760000,0.011146,0.149493,-0.024517,0.143161,0.149907,-0.035738,0.033075,0.150634,0.053991
77,0.770000,0.011148,0.149497,-0.024522,0.143164,0.149900,-0.035740,0.033078,0.150653,0.053999
78,0.780000,0.011136,0.149514,-0.024509,0.143177,0.149897,-0.035742,0.033082,0.150654,0.054009
79,0.790000,0.011147,0.149482,-0.024514,0.143152,0.149859,-0.035759,0.033081,0.150666,0.053976
80,0.800000,0.011147,0.149487,-0.024515,0.143121,0.149907,-0.035738,0.033073,0.150654,0.054002
81,0.810000,0.011146,0.149507,-0.024513,0.143162,0.149915,-0.035731,0.033086,0.150684,0.054026
82,0.820000,0.011151,0.149490,-0.024514,0.143141,0.149881,-0.035743,0.033074,0.150652,0.054008
83,0.830000,0.011145,0.149480,-0.024515,0.143167,0.149885,-0.035744,0.033076,0.150642,0.053982
84,0.840000,0.011143,0.149494,-0.024516,0.143138,0.149947,-0.035728,0.033074,0.150637,0.053987
85,0.850000,0.011148,0.149502,-0.024513,0.143159,0.149926,-0.035743,0.033080,0.150655,0.053999
86,0.860000,0.011146,0.149485,-0.024520,0.143168,0.149881,-0.035751,0.033074,0.150642,0.054001
87,0.870000,0.011147,0.149483,-0.024520,0.143169,0.149878,-0.035751,0.033074,0.150649,0.054000
88,0.880000,0.011148,0.149502,-0.024514,0.143140,0.149887,-0.035736,0.033073,0.150636,0.053977
89,0.890000,0.011150,0.149480,-0.024523,0.143172,0.149883,-0.035749,0.033072,0.150653,0.054003
90,0.900000,0.011153,0.149478,-0.024520,0.143169,0.149894,-0.035744,0.033096,0.150631,0.053986
91,0.910000,0.011144,0.149508,-0.024516,0.143162,0.149923,-0.035729,0.033090,0.150633,0.054000
92,0.920000,0.011152,0.149490,-0.024512,0.143162,0.149850,-0.035758,0.033077,0.150661,0.054007
93,0.930000,0.011147,0.149483,-0.024515,0.143139,0.149865,-0.035745,0.033072,0.150641,0.053984
94,0.940000,0.011141,0.149503,-0.024517,0.143149,0.149857,-0.035754,0.033098,0.150599,0.053959
95,0.950000,0.011153,0.149484,-0.024512,0.143165,0.149911,-0.035735,0.033081,0.150645,0.054011
96,0.960000,0.011150,0.149488,-0.024519,0.143153,0.149852,-0.035761,0.033093,0.150622,0.053987
97,0.970000,0.011156,0.149481,-0.024514,0.143170,0.149886,-0.035750,0.033087,0.150631,0.053987
98,0.980000,0.011160,0.149511,-0.024508,0.143154,0.149919,-0.035746,0.033085,0.150648,0.053998
99,0.990000,0.011148,0.149492,-0.024514,0.143157,0.149843,-0.035761,0.033071,0.150645,0.054000
100,1.000000,0.011143,0.149496,-0.024518,0.143171,0.149888,-0.035742,0.033093,0.150637,0.053988
101,1.010000,0.011150,0.149510,-0.024510,0.143169,0.149897,-0.035748,0.033081,0.150661,0.054000
102,1.020000,0.011146,0.149494,-0.024517,0.143177,0.149899,-0.035744,0.033098,0.150644,0.053996
103,1.030000,0.011144,0.149501,-0.024519,0.143154,0.149920,-0.035730,0.033065,0.150648,0.054001
104,1.040000,0.011146,0.149493,-0.024520,0.143156,0.149847,-0.035758,0.033096,0.150624,0.053976
105,1.050000,0.011142,0.149503,-0.024511,0.143148,0.149860,-0.035757,0.033095,0.150619,0.053981
106,1.060000,0.011149,0.149473,-0.024516,0.143169,0.149876,-0.035754,0.033091,0.150616,0.053978
107,1.070000,0.011147,0.149482,-0.024522,0.143156,0.149895,-0.035735,0.033076,0.150654,0.054000
108,1.080000,0.011145,0.149502,-0.024515,0.143159,0.149844,-0.035761,0.033075,0.150674,0.054009
109,1.090000,0.011148,0.149476,-0.024521,0.143156,0.149922,-0.035726,0.033093,0.150628,0.053988
110,1.100000,0.011152,0.149495,-0.024521,0.143169,0.149880,-0.035755,0.033078,0.150646,0.054004
111,1.110000,0.011150,0.149487,-0.024517,0.143167,0.149915,-0.035731,0.033082,0.150642,0.053992
112,1.120000,0.011146,0.149492,-0.024515,0.143150,0.149884,-0.035743,0.033096,0.150640,0.053980
113,1.130000,0.011134,0.149506,-0.024514,0.143145,0.149864,-0.035754,0.033073,0.150638,0.053991
114,1.140000,0.011147,0.149494,-0.024513,0.143144,0.149847,-0.035758,0.033072,0.150661,0.054004
115,1.150000,0.011148,0.149488,-0.024518,0.143151,0.149870,-0.035753,0.033078,0.150650,0.054001
116,1.160000,0.011143,0.149504,-0.024515,0.143149,0.149864,-0.035758,0.033070,0.150655,0.054000
117,1.170000,0.011140,0.149518,-0.024514,0.143152,0.149917,-0.035729,0.033076,0.150642,0.053985
118,1.180000,0.011152,0.149488,-0.024516,0.143163,0.149929,-0.035724,0.033064,0.150720,0.054004
119,1.190000,0.011151,0.149488,-0.024517,0.143142,0.149848,-0.035752,0.033089,0.150630,0.053979
120,1.200000,0.011146,0.149484,-0.024515,0.143146,0.149856,-0.035756,0.033091,0.150626,0.053980
121,1.210000,0.011150,0.149501,-0.024514,0.143155,0.149919,-0.035743,0.033079,0.150668,0.054008
122,1.220000,0.011151,0.149491,-0.024516,0.143179,0.149907,-0.035745,0.033080,0.150654,0.054011
123,1.230000,0.011148,0.149494,-0.024516,0.143146,0.149852,-0.035746,0.033073,0.150643,0.053994
124,1.240000,0.011142,0.149473,-0.024514,0.143174,0.149885,-0.035741,0.033080,0.150643,0.054002
125,1.250000,0.011148,0.149505,-0.024513,0.143139,0.149887,-0.035736,0.033084,0.150656,0.054010
126,1.260000,0.011151,0.149497,-0.024515,0.143158,0.149848,-0.035755,0.033073,0.150657,0.053975
127,1.270000,0.011155,0.149490,-0.024516,0.143164,0.149882,-0.035749,0.033096,0.150625,0.053985
128,1.280000,0.011153,0.149495,-0.024510,0.143137,0.149894,-0.035752,0.033087,0.150648,0.053994
129,1.290000,0.011145,0.149505,-0.024516,0.143152,0.149925,-0.035723,0.033077,0.150654,0.054002
130,1.300000,0.011145,0.149499,-0.024516,0.143159,0.149913,-0.035733,0.033085,0.150654,0.054000
131,1.310000,0.011146,0.149505,-0.024507,0.143162,0.149853,-0.035759,0.033052,0.150705,0.054010
132,1.320000,0.011157,0.149500,-0.024513,0.143148,0.149887,-0.035739,0.033075,0.150657,0.054011
133,1.330000,0.011137,0.149514,-0.024502,0.143148,0.149863,-0.035748,0.033071,0.150647,0.053999
134,1.340000,0.011142,0.149487,-0.024521,0.143143,0.149892,-0.035737,0.033070,0.150659,0.053996
135,1.350000,0.011153,0.149506,-0.024513,0.143175,0.149901,-0.035737,0.033081,0.150673,0.054010
136,1.360000,0.011140,0.149509,-0.024513,0.143144,0.149869,-0.035745,0.033098,0.150629,0.053986
137,1.370000,0.011149,0.149486,-0.024520,0.143162,0.149896,-0.035743,0.033097,0.150610,0.053962
138,1.380000,0.011147,0.149481,-0.024514,0.143164,0.149938,-0.035723,0.033103,0.150613,0.053971
