Format Version,1.23,Take Name,ar_s9_t0,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-29 10.34.53.446 AM,Total Frames in Take,4395,Total Exported Frames,4395,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_right,ar_marker:bot_right,ar_marker:bot_right,ar_marker:top_left,ar_marker:top_left,ar_marker:top_left,ar_marker:top_right,ar_marker:top_right,ar_marker:top_right
,ID,"2BCDCF330EFC11ED20C8B848E859B3","2BCDCF330EFC11ED20C8B848E859B3","2BCDCF330EFC11ED20C8B848E859B3","2BCDCF320EFC11ED20C8B848E859B3","2BCDCF320EFC11ED20C8B848E859B3","2BCDCF320EFC11ED20C8B848E859B3","2BCDCF310EFC11ED20C8B848E859B3","2BCDCF310EFC11ED20C8B848E859B3","2BCDCF310EFC11ED20C8B848E859B3","2BCDCF300EFC11ED20C8B848E859B3","2BCDCF300EFC11ED20C8B848E859B3","2BCDCF300EFC11ED20C8B848E859B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.081227,0.173080,0.073458,0.155922,0.170721,0.077419,0.084728,0.252271,0.073956,0.159443,0.247539,0.079489
1,0.010000,0.081217,0.173095,0.073450,0.155888,0.170670,0.077400,0.084730,0.252270,0.073961,0.159446,0.247530,0.079491
2,0.020000,0.081218,0.173097,0.073450,0.155921,0.170732,0.077414,0.084715,0.252257,0.073959,0.159438,0.247525,0.079479
3,0.030000,0.081222,0.173103,0.073451,0.155924,0.170712,0.077404,0.084728,0.252270,0.073966,0.159440,0.247541,0.079480
4,0.040000,0.081223,0.173091,0.073447,0.155914,0.170718,0.077425,0.084724,0.252264,0.073959,0.159441,0.247536,0.079486
5,0.050000,0.081196,0.173082,0.073446,0.155915,0.170710,0.077418,0.084722,0.252258,0.073953,0.159434,0.247523,0.079491
6,0.060000,0.081201,0.173068,0.073439,0.155923,0.170735,0.077417,0.084731,0.252265,0.073963,0.159434,0.247529,0.079481
7,0.070000,0.081191,0.173078,0.073451,0.155920,0.170706,0.077416,0.084726,0.252259,0.073965,0.159436,0.247523,0.079485
8,0.080000,0.081200,0.173074,0.073442,0.155915,0.170700,0.077416,0.084720,0.252265,0.073969,0.159438,0.247525,0.079484
9,0.090000,0.081196,0.173086,0.073445,0.155917,0.170709,0.077392,0.084721,0.252263,0.073960,0.159441,0.247526,0.079476
10,0.100000,0.081203,0.173070,0.073440,0.155905,0.170693,0.077411,0.084738,0.252272,0.073962,0.159453,0.247533,0.079478
11,0.110000,0.081200,0.173062,0.073445,0.155909,0.170686,0.077404,0.084734,0.252263,0.073956,0.159442,0.247529,0.079487
12,0.120000,0.081230,0.173113,0.073458,0.155893,0.170698,0.077392,0.084723,0.252269,0.073951,0.159444,0.247530,0.079479
13,0.130000,0.081199,0.173077,0.073440,0.155894,0.170703,0.077395,0.084731,0.252273,0.073959,0.159437,0.247523,0.079485
14,0.140000,0.081198,0.173076,0.073436,0.155889,0.170674,0.077401,0.084724,0.252270,0.073961,0.159440,0.247532,0.079486
15,0.150000,0.081201,0.173076,0.073444,0.155893,0.170682,0.077402,0.084714,0.252280,0.073954,0.159440,0.247525,0.079480
16,0.160000,0.081198,0.173073,0.073436,0.155887,0.170700,0.077393,0.084732,0.252264,0.073958,0.159438,0.247533,0.079477
17,0.170000,0.081196,0.173063,0.073441,0.155917,0.170707,0.077418,0.084730,0.252270,0.073962,0.159456,0.247531,0.079476
18,0.180000,0.081196,0.173071,0.073451,0.155913,0.170712,0.077419,0.084728,0.252261,0.073955,0.159440,0.247531,0.079482
19,0.190000,0.081220,0.173113,0.073449,0.155919,0.170728,0.077408,0.084731,0.252277,0.073951,0.159441,0.247527,0.079472
20,0.200000,0.081200,0.173078,0.073434,0.155916,0.170716,0.077422,0.084720,0.252259,0.073963,0.159436,0.247536,0.079484
21,0.210000,0.081199,0.173063,0.073444,0.155887,0.170674,0.077401,0.084725,0.252264,0.073954,0.159435,0.247528,0.079487
22,0.220000,0.081222,0.173100,0.073452,0.155916,0.170725,0.077412,0.084714,0.252254,0.073957,0.159434,0.247525,0.079473
23,0.230000,0.081230,0.173108,0.073449,0.155892,0.170706,0.077393,0.084736,0.252271,0.073952,0.159446,0.247538,0.079468
24,0.240000,0.081199,0.173079,0.073447,0.155917,0.170696,0.077396,0.084726,0.252269,0.073970,0.159452,0.247533,0.079475
25,0.250000,0.081223,0.173089,0.073453,0.155883,0.170685,0.077397,0.084721,0.252263,0.073961,0.159436,0.247525,0.079484
26,0.260000,0.081220,0.173113,0.073457,0.155924,0.170725,0.077404,0.084734,0.252277,0.073953,0.159435,0.247536,0.079480
27,0.270000,0.081203,0.173068,0.073443,0.155919,0.170715,0.077419,0.084733,0.252269,0.073957,0.159436,0.247532,0.079486
28,0.280000,0.081201,0.173075,0.073439,0.155886,0.170673,0.077403,0.084733,0.252276,0.073949,0.159441,0.247532,0.079489
29,0.290000,0.081220,0.173096,0.073453,0.155916,0.170732,0.077414,0.084734,0.252280,0.073951,0.159435,0.247524,0.079485
30,0.300000,0.081198,0.173085,0.073440,0.155913,0.170715,0.077415,0.084737,0.252282,0.073956,0.159438,0.247539,0.079485
31,0.310000,0.081196,0.173066,0.073447,0.155888,0.170670,0.077398,0.084721,0.252268,0.073954,0.159436,0.247527,0.079485
32,0.320000,0.081222,0.173111,0.073452,0.155921,0.170722,0.077405,0.084723,0.252277,0.073959,0.159441,0.247527,0.079479
33,0.330000,0.081204,0.173074,0.073437,0.155913,0.170725,0.077412,0.084719,0.252266,0.073963,0.159436,0.247526,0.079477
34,0.340000,0.081200,0.173070,0.073450,0.155913,0.170701,0.077414,0.084715,0.252258,0.073958,0.159440,0.247528,0.079486
35,0.350000,0.081202,0.173071,0.073443,0.155886,0.170688,0.077394,0.084718,0.252273,0.073965,0.159444,0.247538,0.079483
36,0.360000,0.081194,0.173099,0.073443,0.155925,0.170718,0.077399,0.084721,0.252278,0.073965,0.159442,0.247536,0.079477
37,0.370000,0.081200,0.173080,0.073449,0.155909,0.170709,0.077417,0.084721,0.252265,0.073951,0.159440,0.247541,0.079490
38,0.380000,0.081193,0.173067,0.073446,0.155885,0.170672,0.077401,0.084716,0.252263,0.073950,0.159439,0.247538,0.079487
39,0.390000,0.081223,0.173108,0.073450,0.155916,0.170727,0.077408,0.084723,0.252266,0.073961,0.159435,0.247534,0.079480
40,0.400000,0.081201,0.173076,0.073439,0.155882,0.170670,0.077395,0.084724,0.252256,0.073956,0.159441,0.247530,0.079485
