Format Version,1.23,Take Name,ar_s9_t2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-29 10.55.01.636 AM,Total Frames in Take,4763,Total Exported Frames,4763,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_left,ar_marker:bot_right,ar_marker:bot_right,ar_marker:bot_right,ar_marker:top_left,ar_marker:top_left,ar_marker:top_left,ar_marker:top_right,ar_marker:top_right,ar_marker:top_right
,ID,"F4E60B210EFE11ED20C8B848E859B3","F4E60B210EFE11ED20C8B848E859B3","F4E60B210EFE11ED20C8B848E859B3","EEA7811D0EFE11ED20C8B848E859B3","EEA7811D0EFE11ED20C8B848E859B3","EEA7811D0EFE11ED20C8B848E859B3","EEA7811C0EFE11ED20C8B848E859B3","EEA7811C0EFE11ED20C8B848E859B3","EEA7811C0EFE11ED20C8B848E859B3","EEA7811B0EFE11ED20C8B848E859B3","EEA7811B0EFE11ED20C8B848E859B3","EEA7811B0EFE11ED20C8B848E859B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.067915,0.172168,0.073097,0.142663,0.170332,0.074698,0.071356,0.251459,0.073762,0.146093,0.246995,0.077331
1,0.010000,0.067912,0.172147,0.073095,0.142662,0.170329,0.074678,0.071356,0.251462,0.073770,0.146081,0.246993,0.077348
2,0.020000,0.067912,0.172168,0.073094,0.142652,0.170325,0.074677,0.071358,0.251466,0.073763,0.146096,0.246993,0.077332
3,0.030000,0.067921,0.172174,0.073099,0.142671,0.170344,0.074685,0.071411,0.251582,0.073607,0.146083,0.246996,0.077344
4,0.040000,0.067907,0.172162,0.073094,0.142668,0.170344,0.074676,0.071360,0.251463,0.073766,0.146085,0.246986,0.077352
5,0.050000,0.067914,0.172174,0.073095,0.142658,0.170329,0.074694,0.071361,0.251459,0.073771,0.146086,0.247008,0.077347
6,0.060000,0.067909,0.172159,0.073098,0.142670,0.170348,0.074685,0.071364,0.251474,0.073765,0.146086,0.246996,0.077342
7,0.070000,0.067914,0.172166,0.073102,0.142666,0.170334,0.074685,0.071360,0.251464,0.073770,0.146084,0.246992,0.077335
8,0.080000,0.067900,0.172166,0.073099,0.142670,0.170332,0.074684,0.071350,0.251465,0.073774,0.146089,0.247002,0.077350
9,0.090000,0.067910,0.172205,0.073113,0.142658,0.170332,0.074678,0.071358,0.251461,0.073760,0.146087,0.246995,0.077329
