Format Version,1.23,Take Name,cart_random_sync,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-22 12.22.57.287 PM,Total Frames in Take,2488,Total Exported Frames,2488,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
51,0.510000,0.186397,0.066455,0.243774,0.227566,0.065012,0.251841,0.169553,0.066387,0.345251
52,0.520000,0.186463,0.066561,0.243832,0.227558,0.065028,0.251842,0.169544,0.066389,0.345251
53,0.530000,0.186459,0.066558,0.243843,0.227565,0.065028,0.251807,0.169552,0.066390,0.345249
54,0.540000,0.186465,0.066569,0.243855,0.227560,0.065007,0.251837,0.169553,0.066373,0.345243
55,0.550000,0.186464,0.066547,0.243847,0.227554,0.064997,0.251848,0.169543,0.066379,0.345252
56,0.560000,0.186466,0.066536,0.243840,0.227565,0.065018,0.251851,0.169551,0.066381,0.345249
57,0.570000,0.186465,0.066550,0.243845,0.227556,0.065019,0.251845,0.169547,0.066372,0.345246
58,0.580000,0.186397,0.066476,0.243772,0.227555,0.065011,0.251844,0.169543,0.066382,0.345250
59,0.590000,0.186454,0.066546,0.243838,0.227570,0.064996,0.251829,0.169553,0.066376,0.345241
60,0.600000,0.186454,0.066546,0.243841,0.227564,0.065008,0.251837,0.169553,0.066382,0.345248
61,0.610000,0.186413,0.066453,0.243763,0.227566,0.065006,0.251842,0.169554,0.066374,0.345258
62,0.620000,0.186473,0.066540,0.243834,0.227569,0.064995,0.251845,0.169545,0.066370,0.345247
63,0.630000,0.186392,0.066452,0.243776,0.227565,0.065010,0.251830,0.169541,0.066379,0.345249
64,0.640000,0.186459,0.066544,0.243852,0.227567,0.065016,0.251842,0.169546,0.066400,0.345253
65,0.650000,0.186462,0.066566,0.243855,0.227563,0.065017,0.251840,0.169551,0.066397,0.345251
66,0.660000,0.186391,0.066459,0.243778,0.227568,0.065002,0.251840,0.169570,0.066397,0.345250
67,0.670000,0.186397,0.066461,0.243777,0.227556,0.065026,0.251847,0.169552,0.066396,0.345257
68,0.680000,0.186399,0.066459,0.243778,0.227568,0.065033,0.251825,0.169560,0.066393,0.345251
69,0.690000,0.186456,0.066552,0.243844,0.227563,0.065011,0.251852,0.169545,0.066384,0.345256
70,0.700000,0.186476,0.066548,0.243845,0.227572,0.065007,0.251846,0.169552,0.066375,0.345256
71,0.710000,0.186394,0.066454,0.243774,0.227565,0.065025,0.251844,0.169544,0.066390,0.345255
72,0.720000,0.186458,0.066557,0.243837,0.227565,0.065007,0.251847,0.169547,0.066378,0.345251
73,0.730000,0.186412,0.066445,0.243762,0.227573,0.065006,0.251837,0.169546,0.066385,0.345252
74,0.740000,0.186460,0.066565,0.243849,0.227571,0.065007,0.251840,0.169549,0.066380,0.345249
75,0.750000,0.186459,0.066564,0.243842,0.227559,0.065014,0.251842,0.169545,0.066380,0.345257
76,0.760000,0.186395,0.066469,0.243771,0.227569,0.065009,0.251834,0.169554,0.066369,0.345260
77,0.770000,0.186455,0.066557,0.243847,0.227557,0.065011,0.251842,0.169554,0.066383,0.345254
78,0.780000,0.186462,0.066565,0.243853,0.227569,0.065018,0.251850,0.169552,0.066383,0.345246
79,0.790000,0.186412,0.066435,0.243757,0.227569,0.064994,0.251842,0.169547,0.066379,0.345247
80,0.800000,0.186404,0.066473,0.243764,0.227566,0.065015,0.251837,0.169545,0.066369,0.345242
81,0.810000,0.186396,0.066459,0.243776,0.227561,0.065012,0.251846,0.169546,0.066380,0.345244
82,0.820000,0.186462,0.066561,0.243845,0.227561,0.065015,0.251846,0.169553,0.066385,0.345247
83,0.830000,0.186456,0.066558,0.243850,0.227564,0.064998,0.251842,0.169571,0.066388,0.345251
84,0.840000,0.186457,0.066555,0.243851,0.227560,0.065018,0.251845,0.169542,0.066369,0.345252
85,0.850000,0.186466,0.066555,0.243845,0.227567,0.064996,0.251837,0.169549,0.066393,0.345254
86,0.860000,0.186464,0.066576,0.243865,0.227554,0.065015,0.251843,0.169549,0.066386,0.345246
87,0.870000,0.186395,0.066465,0.243774,0.227567,0.065007,0.251850,0.169550,0.066383,0.345253
88,0.880000,0.186456,0.066559,0.243835,0.227565,0.065031,0.251821,0.169544,0.066386,0.345254
89,0.890000,0.186393,0.066461,0.243782,0.227562,0.065017,0.251847,0.169547,0.066379,0.345253
90,0.900000,0.186465,0.066548,0.243847,0.227561,0.065013,0.251844,0.169560,0.066386,0.345257
91,0.910000,0.186468,0.066557,0.243858,0.227566,0.065002,0.251847,0.169554,0.066394,0.345257
92,0.920000,0.186462,0.066554,0.243846,0.227557,0.065020,0.251843,0.169548,0.066380,0.345248
93,0.930000,0.186397,0.066467,0.243769,0.227563,0.065019,0.251847,0.169543,0.066386,0.345249
94,0.940000,0.186457,0.066561,0.243829,0.227559,0.065023,0.251846,0.169545,0.066383,0.345251
95,0.950000,0.186399,0.066470,0.243764,0.227565,0.065020,0.251844,0.169543,0.066380,0.345248
96,0.960000,0.186460,0.066555,0.243847,0.227563,0.065005,0.251841,0.169543,0.066394,0.345253
97,0.970000,0.186400,0.066456,0.243781,0.227558,0.065018,0.251842,0.169547,0.066378,0.345246
98,0.980000,0.186457,0.066556,0.243845,0.227565,0.065002,0.251842,0.169549,0.066381,0.345249
99,0.990000,0.186463,0.066560,0.243837,0.227562,0.065027,0.251844,0.169562,0.066372,0.345252
100,1.000000,0.186412,0.066435,0.243760,0.227570,0.065004,0.251842,0.169547,0.066379,0.345252
101,1.010000,0.186394,0.066466,0.243770,0.227554,0.065006,0.251842,0.169560,0.066376,0.345248
102,1.020000,0.186456,0.066551,0.243841,0.227565,0.065012,0.251840,0.169548,0.066368,0.345264
103,1.030000,0.186403,0.066463,0.243772,0.227569,0.065008,0.251835,0.169541,0.066390,0.345254
104,1.040000,0.186456,0.066550,0.243840,0.227562,0.065015,0.251848,0.169542,0.066381,0.345250
105,1.050000,0.186411,0.066450,0.243758,0.227566,0.065016,0.251841,0.169552,0.066379,0.345245
106,1.060000,0.186458,0.066555,0.243838,0.227565,0.065008,0.251834,0.169551,0.066379,0.345248
107,1.070000,0.186452,0.066558,0.243841,0.227568,0.065014,0.251837,0.169554,0.066388,0.345247
108,1.080000,0.186457,0.066555,0.243840,0.227560,0.065006,0.251843,0.169544,0.066395,0.345248
109,1.090000,0.186407,0.066478,0.243789,0.227565,0.065021,0.251844,0.169546,0.066380,0.345251
110,1.100000,0.186456,0.066554,0.243839,0.227559,0.065012,0.251847,0.169537,0.066391,0.345248
111,1.110000,0.186475,0.066542,0.243840,0.227560,0.065005,0.251846,0.169545,0.066385,0.345255
112,1.120000,0.186473,0.066542,0.243843,0.227564,0.065019,0.251843,0.169559,0.066391,0.345250
113,1.130000,0.186459,0.066560,0.243844,0.227564,0.064996,0.251844,0.169552,0.066379,0.345248
114,1.140000,0.186404,0.066471,0.243789,0.227566,0.065002,0.251836,0.169568,0.066385,0.345247
115,1.150000,0.186395,0.066459,0.243771,0.227575,0.065007,0.251830,0.169549,0.066383,0.345248
116,1.160000,0.186404,0.066466,0.243772,0.227574,0.065004,0.251838,0.169552,0.066401,0.345252
117,1.170000,0.186457,0.066554,0.243840,0.227574,0.065001,0.251838,0.169566,0.066392,0.345253
118,1.180000,0.186464,0.066556,0.243830,0.227561,0.065015,0.251843,0.169545,0.066381,0.345251
119,1.190000,0.186466,0.066527,0.243835,0.227556,0.065013,0.251852,0.169548,0.066391,0.345252
120,1.200000,0.186466,0.066557,0.243838,0.227557,0.065009,0.251848,0.169548,0.066380,0.345258
121,1.210000,0.186464,0.066561,0.243849,0.227565,0.065035,0.251849,0.169546,0.066390,0.345253
122,1.220000,0.186466,0.066555,0.243846,0.227570,0.065007,0.251837,0.169550,0.066382,0.345245
123,1.230000,0.186477,0.066557,0.243826,0.227560,0.065026,0.251842,0.169544,0.066394,0.345247
124,1.240000,0.186467,0.066570,0.243854,0.227563,0.065017,0.251848,0.169551,0.066386,0.345255
125,1.250000,0.186482,0.066557,0.243850,0.227571,0.065016,0.251844,0.169559,0.066387,0.345250
126,1.260000,0.186460,0.066576,0.243841,0.227569,0.065000,0.251837,0.169553,0.066393,0.345251
127,1.270000,0.186461,0.066544,0.243837,0.227565,0.065007,0.251846,0.169569,0.066392,0.345254
128,1.280000,0.186405,0.066465,0.243785,0.227569,0.064999,0.251845,0.169556,0.066391,0.345249
129,1.290000,0.186461,0.066556,0.243841,0.227559,0.065015,0.251844,0.169549,0.066392,0.345251
130,1.300000,0.186398,0.066468,0.243765,0.227576,0.065023,0.251842,0.169573,0.066393,0.345253
131,1.310000,0.186466,0.066569,0.243855,0.227573,0.065015,0.251840,0.169556,0.066388,0.345245
132,1.320000,0.186466,0.066561,0.243833,0.227567,0.065014,0.251845,0.169551,0.066380,0.345247
133,1.330000,0.186395,0.066449,0.243772,0.227560,0.065013,0.251851,0.169548,0.066382,0.345251
134,1.340000,0.186459,0.066531,0.243835,0.227558,0.065016,0.251852,0.169574,0.066393,0.345249
135,1.350000,0.186455,0.066552,0.243831,0.227567,0.065012,0.251839,0.169570,0.066394,0.345252
136,1.360000,0.186458,0.066554,0.243843,0.227554,0.065011,0.251843,0.169562,0.066387,0.345256
