sys_time,e_fr,e_fl,e_rr,e_rl
2022-06-14 10:27:09.809669,365,-1704,-1940,645
2022-06-14 10:27:09.990491,365,-1704,-1940,645
2022-06-14 10:27:09.990990,365,-1704,-1940,645
2022-06-14 10:27:09.990990,365,-1704,-1940,645
2022-06-14 10:27:09.990990,365,-1704,-1940,645
2022-06-14 10:27:09.991491,365,-1704,-1940,645
2022-06-14 10:27:09.991491,365,-1704,-1940,645
2022-06-14 10:27:09.991991,365,-1704,-1940,645
2022-06-14 10:27:09.991991,365,-1704,-1940,645
2022-06-14 10:27:09.991991,365,-1704,-1940,645
2022-06-14 10:27:09.992491,365,-1704,-1940,645
2022-06-14 10:27:09.992491,365,-1704,-1940,645
2022-06-14 10:27:09.992491,365,-1704,-1940,645
2022-06-14 10:27:09.992992,365,-1704,-1940,645
2022-06-14 10:27:09.992992,365,-1704,-1940,645
2022-06-14 10:27:09.992992,365,-1704,-1940,645
2022-06-14 10:27:09.993491,365,-1704,-1940,645
2022-06-14 10:27:09.993491,365,-1704,-1940,645
2022-06-14 10:27:09.993491,365,-1704,-1940,645
2022-06-14 10:27:09.993990,365,-1704,-1940,645
2022-06-14 10:27:09.993990,365,-1704,-1940,645
2022-06-14 10:27:09.993990,365,-1704,-1940,645
2022-06-14 10:27:09.993990,365,-1704,-1940,645
2022-06-14 10:27:09.994492,365,-1704,-1940,645
2022-06-14 10:27:09.994492,365,-1704,-1940,645
2022-06-14 10:27:09.994492,365,-1704,-1940,645
2022-06-14 10:27:09.994990,365,-1704,-1940,645
2022-06-14 10:27:09.994990,365,-1704,-1940,645
2022-06-14 10:27:09.994990,365,-1704,-1940,645
2022-06-14 10:27:09.995490,365,-1704,-1940,645
2022-06-14 10:27:09.995490,365,-1704,-1940,645
2022-06-14 10:27:09.995490,365,-1704,-1940,645
2022-06-14 10:27:09.995490,365,-1704,-1940,645
2022-06-14 10:27:09.995990,365,-1704,-1940,645
2022-06-14 10:27:09.995990,365,-1704,-1940,645
2022-06-14 10:27:09.995990,365,-1704,-1940,645
2022-06-14 10:27:09.996490,365,-1704,-1940,645
2022-06-14 10:27:09.996490,365,-1704,-1940,645
2022-06-14 10:27:09.996490,365,-1704,-1940,645
2022-06-14 10:27:09.996490,365,-1704,-1940,645
2022-06-14 10:27:09.996990,365,-1704,-1940,645
2022-06-14 10:27:09.996990,365,-1704,-1940,645
