sys_time,e_fr,e_fl,e_rr,e_rl,rtc,mils,sync
2022-06-23 09:53:16.990361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82744,0
2022-06-23 09:53:16.990861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82754,0
2022-06-23 09:53:16.991862,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82764,0
2022-06-23 09:53:16.992361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82774,0
2022-06-23 09:53:17.009860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82784,0
2022-06-23 09:53:17.010361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82794,0
2022-06-23 09:53:17.010861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82804,0
2022-06-23 09:53:17.011360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82814,0
2022-06-23 09:53:17.011860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82824,0
2022-06-23 09:53:17.012360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82834,0
2022-06-23 09:53:17.012860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82844,0
2022-06-23 09:53:17.036361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82854,0
2022-06-23 09:53:17.037363,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82864,0
2022-06-23 09:53:17.037363,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82874,0
2022-06-23 09:53:17.037860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82884,0
2022-06-23 09:53:17.038360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82894,0
2022-06-23 09:53:17.038860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82904,0
2022-06-23 09:53:17.039360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82914,0
2022-06-23 09:53:17.074862,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82924,0
2022-06-23 09:53:17.075361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82934,0
2022-06-23 09:53:17.076361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82944,0
2022-06-23 09:53:17.076860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82954,0
2022-06-23 09:53:17.077361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82964,0
2022-06-23 09:53:17.077861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82974,0
2022-06-23 09:53:17.078362,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82984,0
2022-06-23 09:53:17.099860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,82994,0
2022-06-23 09:53:17.100360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83004,0
2022-06-23 09:53:17.100862,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83014,0
2022-06-23 09:53:17.100862,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83024,0
2022-06-23 09:53:17.101362,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83034,0
2022-06-23 09:53:17.101863,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83044,0
2022-06-23 09:53:17.102362,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83054,0
2022-06-23 09:53:17.108860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83064,0
2022-06-23 09:53:17.109360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83074,0
2022-06-23 09:53:17.109861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83084,0
2022-06-23 09:53:17.109861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83094,0
2022-06-23 09:53:17.110367,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83104,0
2022-06-23 09:53:17.110861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83114,0
2022-06-23 09:53:17.110861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83124,0
2022-06-23 09:53:17.129860,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83134,0
2022-06-23 09:53:17.130861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83144,0
2022-06-23 09:53:17.131361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83154,0
2022-06-23 09:53:17.132361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83164,0
2022-06-23 09:53:17.133361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83174,0
2022-06-23 09:53:17.134360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83184,0
2022-06-23 09:53:17.136361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83194,0
2022-06-23 09:53:17.152361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83204,0
2022-06-23 09:53:17.152861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83214,0
2022-06-23 09:53:17.154367,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83224,0
2022-06-23 09:53:17.154861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83234,0
2022-06-23 09:53:17.155861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83244,0
2022-06-23 09:53:17.156360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83254,0
2022-06-23 09:53:17.157362,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83264,0
2022-06-23 09:53:17.178861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83274,0
2022-06-23 09:53:17.179361,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83284,0
2022-06-23 09:53:17.179861,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83294,0
2022-06-23 09:53:17.180360,-1,0,0,0,2019-01-01 05.31.22.000000 AM,83304,0
2022-06-23 09:53:17.180860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83314,0
2022-06-23 09:53:17.180860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83324,0
2022-06-23 09:53:17.181360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83334,0
2022-06-23 09:53:17.202861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83344,0
2022-06-23 09:53:17.203361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83354,0
2022-06-23 09:53:17.203862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83364,0
2022-06-23 09:53:17.204362,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83374,0
2022-06-23 09:53:17.204362,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83384,0
2022-06-23 09:53:17.204860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83394,0
2022-06-23 09:53:17.205360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83404,0
2022-06-23 09:53:17.227360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83414,0
2022-06-23 09:53:17.227360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83424,0
2022-06-23 09:53:17.228860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83434,0
2022-06-23 09:53:17.229361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83444,0
2022-06-23 09:53:17.229361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83454,0
2022-06-23 09:53:17.229860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83464,0
2022-06-23 09:53:17.230360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83474,0
2022-06-23 09:53:17.249862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83484,0
2022-06-23 09:53:17.250360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83494,0
2022-06-23 09:53:17.250862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83504,0
2022-06-23 09:53:17.251360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83514,0
