Format Version,1.23,Take Name,cart_linear_sideways,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-15 12.13.29.772 PM,Total Frames in Take,3776,Total Exported Frames,3776,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:center,mecanum:center,mecanum:center,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"A505A605EC7611ECBCE17DD2D9C84CB3","A505A605EC7611ECBCE17DD2D9C84CB3","A505A605EC7611ECBCE17DD2D9C84CB3","9ECE9B77EC7611ECBCE17DD2D9C84CB3","9ECE9B77EC7611ECBCE17DD2D9C84CB3","9ECE9B77EC7611ECBCE17DD2D9C84CB3","9ECE9B79EC7611ECBCE17DD2D9C84CB3","9ECE9B79EC7611ECBCE17DD2D9C84CB3","9ECE9B79EC7611ECBCE17DD2D9C84CB3","A505A603EC7611ECBCE17DD2D9C84CB3","A505A603EC7611ECBCE17DD2D9C84CB3","A505A603EC7611ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
36,0.360000,0.376724,0.061976,0.048014,0.336800,0.061991,-0.017967,0.416372,0.060210,-0.015424,0.334195,0.063520,0.109510
37,0.370000,0.376720,0.061974,0.048007,0.336792,0.061992,-0.017959,0.416380,0.060206,-0.015433,0.334200,0.063514,0.109511
38,0.380000,0.376723,0.061986,0.048010,0.336801,0.061991,-0.017963,0.416386,0.060181,-0.015442,0.334199,0.063531,0.109507
39,0.390000,0.376719,0.061977,0.048007,0.336799,0.061990,-0.017960,0.416363,0.060215,-0.015439,0.334196,0.063517,0.109506
40,0.400000,0.376715,0.061975,0.048008,0.336800,0.061980,-0.017962,0.416370,0.060205,-0.015449,0.334205,0.063514,0.109508
41,0.410000,0.376720,0.061971,0.048007,0.336804,0.062008,-0.017971,0.416366,0.060204,-0.015439,0.334205,0.063507,0.109491
42,0.420000,0.376719,0.061954,0.048003,0.336801,0.061990,-0.017954,0.416383,0.060192,-0.015443,0.334200,0.063508,0.109507
43,0.430000,0.376719,0.061956,0.048007,0.336800,0.061982,-0.017955,0.416386,0.060179,-0.015435,0.334202,0.063511,0.109507
44,0.440000,0.376718,0.061968,0.048009,0.336800,0.061954,-0.017980,0.416376,0.060193,-0.015453,0.334196,0.063504,0.109502
45,0.450000,0.376711,0.061967,0.048013,0.336795,0.061978,-0.017960,0.416377,0.060187,-0.015439,0.334190,0.063502,0.109507
46,0.460000,0.376711,0.061951,0.048009,0.336795,0.061984,-0.017963,0.416378,0.060182,-0.015423,0.334194,0.063517,0.109508
47,0.470000,0.376718,0.061994,0.048017,0.336799,0.061980,-0.017962,0.416388,0.060196,-0.015430,0.334201,0.063500,0.109505
48,0.480000,0.376723,0.061984,0.048012,0.336796,0.062008,-0.017969,0.416378,0.060197,-0.015431,0.334200,0.063516,0.109500
49,0.490000,0.376720,0.061973,0.048003,0.336801,0.061985,-0.017961,0.416380,0.060197,-0.015430,0.334213,0.063505,0.109502
50,0.500000,0.376718,0.061964,0.048008,0.336799,0.061997,-0.017958,0.416379,0.060202,-0.015443,0.334199,0.063516,0.109503
51,0.510000,0.376717,0.061977,0.048005,0.336805,0.062002,-0.017963,0.416376,0.060212,-0.015440,0.334199,0.063522,0.109505
52,0.520000,0.376717,0.061973,0.048012,0.336798,0.061998,-0.017951,0.416376,0.060217,-0.015443,0.334202,0.063530,0.109509
53,0.530000,0.376723,0.061974,0.048003,0.336799,0.061993,-0.017958,0.416369,0.060205,-0.015427,0.334202,0.063528,0.109500
54,0.540000,0.376718,0.061983,0.048011,0.336789,0.061991,-0.017959,0.416377,0.060203,-0.015427,0.334197,0.063516,0.109505
55,0.550000,0.376718,0.061965,0.048006,0.336797,0.061991,-0.017960,0.416389,0.060194,-0.015438,0.334193,0.063514,0.109508
56,0.560000,0.376726,0.061984,0.048007,0.336798,0.061976,-0.017959,0.416378,0.060202,-0.015418,0.334195,0.063507,0.109502
57,0.570000,0.376712,0.061964,0.048011,0.336792,0.061977,-0.017958,0.416377,0.060177,-0.015448,0.334200,0.063505,0.109502
58,0.580000,0.376723,0.061981,0.048008,0.336805,0.061985,-0.017957,0.416385,0.060210,-0.015426,0.334200,0.063514,0.109509
59,0.590000,0.376717,0.061979,0.048005,0.336797,0.061990,-0.017956,0.416374,0.060197,-0.015427,0.334201,0.063520,0.109505
