Format Version,1.23,Take Name,cart_random,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-15 05.41.53.371 PM,Total Frames in Take,6319,Total Exported Frames,6319,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"8B1566A9ECA411ECBCE17DD2D9C84CB3","8B1566A9ECA411ECBCE17DD2D9C84CB3","8B1566A9ECA411ECBCE17DD2D9C84CB3","8B1566AAECA411ECBCE17DD2D9C84CB3","8B1566AAECA411ECBCE17DD2D9C84CB3","8B1566AAECA411ECBCE17DD2D9C84CB3","8B1566ABECA411ECBCE17DD2D9C84CB3","8B1566ABECA411ECBCE17DD2D9C84CB3","8B1566ABECA411ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
47,0.470000,0.372072,0.062666,-0.089314,0.412843,0.061152,-0.088168,0.368533,0.062685,-0.025665
48,0.480000,0.372062,0.062647,-0.089314,0.412849,0.061189,-0.088155,0.368528,0.062682,-0.025664
49,0.490000,0.372070,0.062643,-0.089326,0.412837,0.061153,-0.088165,0.368521,0.062671,-0.025658
50,0.500000,0.372062,0.062654,-0.089323,0.412841,0.061155,-0.088159,0.368535,0.062675,-0.025679
51,0.510000,0.372060,0.062667,-0.089332,0.412833,0.061156,-0.088168,0.368526,0.062654,-0.025676
52,0.520000,0.372061,0.062641,-0.089326,0.412839,0.061156,-0.088170,0.368551,0.062679,-0.025682
53,0.530000,0.372071,0.062664,-0.089314,0.412837,0.061143,-0.088161,0.368551,0.062677,-0.025674
54,0.540000,0.372080,0.062679,-0.089315,0.412850,0.061165,-0.088165,0.368556,0.062688,-0.025679
55,0.550000,0.372072,0.062670,-0.089320,0.412848,0.061172,-0.088158,0.368529,0.062685,-0.025676
56,0.560000,0.372072,0.062654,-0.089329,0.412840,0.061169,-0.088172,0.368548,0.062673,-0.025686
57,0.570000,0.372080,0.062679,-0.089315,0.412845,0.061172,-0.088166,0.368537,0.062685,-0.025677
58,0.580000,0.372059,0.062673,-0.089328,0.412852,0.061176,-0.088164,0.368552,0.062690,-0.025677
59,0.590000,0.372072,0.062674,-0.089329,0.412856,0.061178,-0.088166,0.368565,0.062700,-0.025675
60,0.600000,0.372079,0.062685,-0.089325,0.412855,0.061194,-0.088152,0.368572,0.062699,-0.025678
61,0.610000,0.372072,0.062642,-0.089320,0.412854,0.061175,-0.088158,0.368550,0.062695,-0.025693
62,0.620000,0.372065,0.062657,-0.089324,0.412832,0.061159,-0.088162,0.368547,0.062658,-0.025685
63,0.630000,0.372077,0.062646,-0.089317,0.412851,0.061160,-0.088167,0.368550,0.062666,-0.025688
64,0.640000,0.372090,0.062656,-0.089342,0.412852,0.061175,-0.088167,0.368567,0.062669,-0.025689
65,0.650000,0.372085,0.062640,-0.089331,0.412858,0.061162,-0.088169,0.368521,0.062680,-0.025663
66,0.660000,0.372071,0.062660,-0.089331,0.412850,0.061159,-0.088169,0.368538,0.062659,-0.025667
67,0.670000,0.372063,0.062653,-0.089338,0.412856,0.061167,-0.088163,0.368549,0.062679,-0.025681
68,0.680000,0.372064,0.062665,-0.089336,0.412828,0.061135,-0.088171,0.368542,0.062677,-0.025689
69,0.690000,0.372059,0.062628,-0.089331,0.412829,0.061145,-0.088173,0.368547,0.062683,-0.025677
70,0.700000,0.372070,0.062671,-0.089322,0.412843,0.061170,-0.088178,0.368541,0.062672,-0.025690
